,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2004-04-12,7134.0,7250.0,7420.0,7150.0,7150.0,17000.0,
2004-04-13,6907.0,7020.0,7250.0,7010.0,7250.0,5400.0,
2004-04-14,6868.0,6980.0,7150.0,6980.0,7050.0,4300.0,
2004-04-16,6907.0,7020.0,7190.0,6950.0,6950.0,1300.0,
2004-04-19,6996.0,7110.0,7370.0,7050.0,7210.0,3800.0,
2004-04-20,7134.0,7250.0,7390.0,7120.0,7390.0,200.0,
2004-04-21,7015.0,7130.0,7400.0,7100.0,7350.0,6400.0,
2004-04-22,7084.0,7200.0,7470.0,7040.0,7040.0,5000.0,
2004-04-23,7183.0,7300.0,7300.0,7100.0,7300.0,600.0,
2004-04-26,7281.0,7400.0,7400.0,7110.0,7350.0,7400.0,
2004-04-27,7271.0,7390.0,7540.0,7160.0,7540.0,2500.0,
2004-04-28,7025.0,7140.0,7390.0,7120.0,7390.0,2400.0,
2004-04-29,7084.0,7200.0,7270.0,7050.0,7270.0,2100.0,
2004-04-30,7084.0,7200.0,7200.0,7050.0,7200.0,1100.0,
2004-05-03,7134.0,7250.0,7500.0,7010.0,7500.0,1700.0,
2004-05-04,6917.0,7030.0,7250.0,6990.0,7250.0,1100.0,
2004-05-06,6888.0,7000.0,7180.0,6520.0,7180.0,2500.0,
2004-05-07,6888.0,7000.0,7250.0,6750.0,7060.0,2400.0,
2004-05-10,6937.0,7050.0,7150.0,6730.0,7150.0,6200.0,
2004-05-11,6760.0,6870.0,7150.0,6850.0,7050.0,1500.0,
2004-05-12,6878.0,6990.0,7140.0,6870.0,7140.0,3900.0,
2004-05-13,7035.0,7150.0,7340.0,6900.0,7100.0,1800.0,
2004-05-14,7025.0,7140.0,7150.0,6960.0,6980.0,900.0,
2004-05-17,7025.0,7140.0,7140.0,6770.0,6990.0,700.0,
2004-05-18,6888.0,7000.0,7100.0,6780.0,7100.0,300.0,
2004-05-19,6888.0,7000.0,7090.0,6880.0,7080.0,600.0,
2004-05-20,6888.0,7000.0,7080.0,6950.0,6950.0,100.0,
2004-05-21,6986.0,7100.0,7350.0,6870.0,7000.0,400.0,
2004-05-24,6976.0,7090.0,7090.0,6950.0,7000.0,500.0,
2004-05-25,6789.0,6900.0,6960.0,6900.0,6960.0,300.0,
2004-05-27,6789.0,6900.0,7080.0,6880.0,7080.0,1900.0,
2004-05-28,6986.0,7100.0,7100.0,6800.0,7090.0,800.0,
2004-05-31,6888.0,7000.0,7000.0,6740.0,6900.0,3900.0,
2004-06-01,6701.0,6810.0,6900.0,6810.0,6900.0,800.0,
2004-06-02,6642.0,6750.0,6900.0,6750.0,6890.0,600.0,
2004-06-03,6691.0,6800.0,7080.0,6800.0,7080.0,13000.0,
2004-06-04,6681.0,6790.0,6790.0,5990.0,6700.0,4700.0,
2004-06-07,6956.0,7070.0,7070.0,6750.0,6750.0,200.0,
2004-06-08,7015.0,7130.0,7250.0,6820.0,7250.0,300.0,
2004-06-09,6937.0,7050.0,7100.0,6850.0,6850.0,100.0,
2004-06-10,6888.0,7000.0,7000.0,7000.0,7000.0,3.0,
2004-06-11,6642.0,6750.0,7000.0,6750.0,6850.0,5600.0,
2004-06-14,6819.0,6930.0,6930.0,6800.0,6930.0,100.0,
2004-06-15,6888.0,7000.0,7190.0,6600.0,7190.0,400.0,
2004-06-16,6750.0,6860.0,6950.0,6860.0,6950.0,0.0,
2004-06-17,6858.0,6970.0,6970.0,6800.0,6860.0,19.0,
2004-06-18,6681.0,6790.0,6950.0,6780.0,6840.0,2200.0,
2004-06-21,6779.0,6890.0,6960.0,6500.0,6850.0,100.0,
2004-06-22,6740.0,6850.0,6900.0,6620.0,6900.0,31.0,
2004-06-23,6691.0,6800.0,6800.0,6700.0,6700.0,200.0,
